Id  |Desc                        |Token |X  |Y  |Yoff |Xoff |Xs |Ys |Act |Len |Top  |Wth |Hht |OnMap 
527 |Ice Cave BubblesU 01        |2u    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
528 |Ice Cave BubblesS 01        |2s    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
529 |Redbaal's Lair Tomb1        |3f    |5  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
530 |Redbaal's Lair Tomb1L       |3g    |3  |5  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
531 |Redbaal's Lair Tomb2        |3h    |5  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
532 |Redbaal's Lair Tomb2L       |3i    |3  |5  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
533 |Redbaal's Lair Tomb3        |3j    |5  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
534 |Redbaal's Lair Tomb3L       |3k    |3  |5  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
535 |RedbaalsMrBox               |3L    |3  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
536 |Redbaal's Torch1            |3m    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
537 |Redbaal's Torch2            |3n    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
538 |TempleCandles               |3o    |2  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
539 |TempleWaypoint              |3p    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |307   
540 |DeadPerson                  |3q    |2  |2  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
541 |GroundTomb                  |3s    |5  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
542 |Larzuk Greeting             |ss    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
543 |Larzuk Standard             |ss    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
544 |GroundTombL                 |3t    |3  |5  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
545 |DeadPerson2                 |3u    |2  |2  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
546 |AncientsAltar               |4a    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |1467  
547 |Worldstone Level1           |4b    |5  |8  |-47  |17   |0  |0  |16  |-30 |-100 |70  |100 |0     
548 |WeaponrackR                 |3x    |2  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
549 |WeaponrackL                 |3y    |1  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
550 |ArmourrackR                 |3z    |2  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
551 |ArmourrackL                 |4c    |1  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
552 |SummitTorch2                |9g    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
553 |FuneralPire                 |9h    |3  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
554 |BurningLogs                 |9i    |3  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
555 |Ice Cave Steam              |2o    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
556 |DeadPerson3                 |3v    |2  |2  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
557 |Baal's Lair                 |ss    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
558 |Frozen Anya                 |2n    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |1468  
559 |BBQ Bunny                   |29    |3  |3  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
560 |Baal Torch Big              |25    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
561 |Invisible Ancient           |ss    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
562 |Invisible Base              |ss    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
563 |Worldstone Chamber          |4x    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
564 |GlacialCaves Level1         |4u    |0  |0  |0    |-33  |0  |0  |16  |0   |0    |0   |0   |0     
565 |Last Cinematic              |pp    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
566 |Harrogath LastPortal        |pp    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
567 |Zoo                         |ss    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
568 |Keeper                      |7z    |2  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
569 |ThroneOfDest Portal         |4x    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
570 |FireplaceGuy                |7y    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
571 |DoorBlocker                 |ss    |5  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
572 |DoorBlocker2                |ss    |2  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0
